0,1,bread,7 slice(s),4/15/2018,0
0,0,frozen chicken nuggets,0.5 bag(s),7/20/2018,0
0,1,eggs,1 egg(s),4/16/2018,0
0,0,chili,null,4/15/2018,1
0,1,turkey,12 slice(s),4/21/2018,0
0,1,cheddar cheese,1 slice(s),4/20/2018,0
0,0,tacos,6 taco(s),4/16/2018,1
0,1,mayonaise,0.5 jar(s),5/2/2018,0
0,1,ground beef,0 lbs.,4/15/2018,0
0,1,milk,6 cup(s),4/10/2018,0
0,1,salt,null,null,0
0,1,ketchup,1 bottle(s),9/19/2018,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
1,bread,null,null,null,null
1,bacon,null,null,null,null
1,turkey,null,null,null,null
1,fruit rollups,null,null,null,null
1,shredded cheese,null,null,null,null
1,ground beef,2 lb(s).,null,null,null
1,cheddar cheese,null,null,null,null
1,eggs,12 egg(s),null,null,null
1,frozen pizza,2 (pizzas),null,null,null
2,turkey club,/ou-cs-hci/build/resources/main/edu/ou/cs/hci/resources/recipes/**,2 slice(s) bread./2 slice(s) turkey./2 slice(s) cheddar cheese./null mayonaise,null,null
2,meat loaf,/ou-cs-hci/build/resources/main/edu/ou/cs/hci/resources/recipes/**,1 lb(s). ground beef./1 egg(s) egg./1 cup(s) milk./null salt./null ketchup,null,null
2,huevos rancheros,/ou-cs-hci/build/resources/main/edu/ou/cs/hci/resources/recipes/**,1 jar(s) salsa./2 egg(s) eggs./null shredded cheese,null,null
